Sample,B.cells,CD4.Naive,CD4.Memory,CD8.Naive,CD8.Memory,CD8.Effector,Treg.cell,Th.cell,Monocytes.CD16,Monocytes.CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T.cell.recruiting,Step4.CD4.T.cell.recruiting,Step4.CD8.T.cell.recruiting,Step4.Th1.cell.recruiting,Step4.Dendritic.cell.recruiting,Step4.Th22.cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK.cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17.cell.recruiting,Step4.B.cell.recruiting,Step4.Th2.cell.recruiting,Step4.Treg.cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.4J.AA1J.01A.21R.A38B.07,0,0.191901273,0.188254308,0,0,0.020480076,0.036358554,0.199301087,0.224692123,0,0,0.134781652,0.004168883,6.20E-05,5.285,0.122,-3.117,-0.8,0.054,-0.64,-0.809,0.074,-0.538,-0.14,-1.074,2.018,0.086,-1.698,-0.799,0.918,0.338,-0.153,-0.989,-1.35,-0.602,0.918,-1.538
TCGA.BI.A0VR.01A.11R.A10U.07,0.087102006,0.059007833,0.346573014,0,0,0.007505153,0,0.246799327,0.021407367,0,0.04733793,0.180127164,0.00217611,0.001964098,5.593,-0.129,-0.734,3.204,2.338,2.849,1.78,1.726,-0.342,3.174,1.044,0.88,3.488,0.273,0.115,0.835,-0.261,-0.244,-1.554,-1.132,-0.731,-0.338,-0.703
TCGA.BI.A0VS.01A.11R.A10U.07,0,0,0.47179119,0,0,0.004892672,0,0.343257894,0,0,0.082998998,0.088640357,0.005752332,0.002666557,5.466,-1.319,-0.745,2.043,0.339,-0.33,0.348,0.849,0.74,0.348,1.135,-1.804,0.795,-0.476,0.205,-0.32,0.237,-0.264,-1.392,-1.18,-0.141,1.993,-2.022
TCGA.BI.A20A.01A.11R.A14Y.07,0.068721771,0.242938077,0.225952844,0,0,0.015045249,0,0.140576661,0,0,0.134543797,0.171748708,0,0.000472892,5.213,-0.04,1.835,3.05,2.679,2.435,2.1,1.217,0.758,2.208,1.091,-0.834,2.927,-1.449,-0.757,-0.272,0.098,-0.268,-0.61,-0.43,1.128,0.036,-1.668
TCGA.C5.A0TN.01A.21R.A14Y.07,0,0.049458169,0.411941479,0,0,0.00681306,0,0.305144151,0,0.071413991,0.087222729,0.060904544,0.004004138,0.003097739,5.253,1.31,-3.118,-0.916,-1.155,1.252,1.322,-0.463,-0.884,0.803,1.102,1.553,1.263,-1.97,-1.242,1.09,-1.213,-2.098,-1.816,-0.43,-1.768,1.165,-0.396
TCGA.C5.A1BE.01B.11R.A13Y.07,0,0.024248795,0.33252037,0,0,0,0,0.204176119,0.185321918,0,0,0.238263268,0.013919913,0.001549616,5.34,-0.379,-1.733,1.512,1.527,1.207,0.764,0.147,1.112,0.837,0.235,-0.89,1.91,-0.201,0.309,-0.878,-0.806,0.213,-0.414,-1.414,-1.207,-0.368,1.829
TCGA.C5.A1BF.01B.11R.A13Y.07,0.002423182,0.295883088,0.149359155,0,0,0.002960532,0,0.308835644,0,0.018580043,0.10780933,0.110182172,0.002794005,0.001172848,5.427,0.049,-1.753,0.93,-1.149,-0.248,0.918,-0.586,0.033,1.438,-0.495,1.503,-0.998,-1.091,-0.078,2.005,0.731,-0.982,-2.19,-0.689,-1.32,2.224,-0.498
TCGA.C5.A1BJ.01A.11R.A13Y.07,0,0.224639669,0.281352357,0,0,0,0.057221869,0.041690031,0.111883826,0.029484924,0,0.250475779,0.002783865,0.00046768,5.93,-0.201,0.057,1.597,1.361,1.511,0.603,1.097,0.05,0.808,0.207,4.337,1.131,-0.171,-0.202,1.604,1.297,-0.574,-0.776,-0.315,-0.668,0.704,1.208
TCGA.C5.A1BK.01B.11R.A13Y.07,0,0.124958261,0.348736195,0,0,0.022593015,0.000680215,0.164216095,0,0,0.194344131,0.138296848,0.005221279,0.000953962,5.628,0.737,-0.355,4.715,2.847,3.381,3.351,3.046,0.804,3.26,1.04,-0.094,4.899,-0.464,0.065,0.019,0.871,-1.424,-0.287,-0.794,0.43,2.072,0.412
TCGA.C5.A1BL.01A.11R.A13Y.07,0,0.231634134,0.311610428,0,0,0.004105682,0,0.200058786,0,0,0.092732314,0.153277671,0.004701554,0.00187943,5.754,0.072,1.361,1.93,1.203,2.1,1.745,0.593,-0.995,1.2,-1.304,1.062,2.747,-0.71,0.125,-0.662,-0.409,-0.435,-1.51,-0.557,-0.965,0.933,0.925
TCGA.C5.A1BM.01A.11R.A13Y.07,0.016439783,0.286243697,0.24274189,0,0,0.014171005,0.042165432,0.061841187,0,0,0.133961631,0.199575059,0.002240003,0.000620313,5.407,0.33,1.331,1.934,0.822,2.795,2.42,0.972,-1.086,2.666,0.107,0.492,3.41,-0.711,-0.276,-0.269,-0.144,-0.419,-1.891,-0.166,0.569,0.421,-0.492
TCGA.C5.A1BN.01B.11R.A14Y.07,0,0.154981305,0.227895803,0,0,0.013174491,0,0.438363708,0.057136259,0,0.040980308,0.059847154,0.004916126,0.002704845,5.207,0.199,-2.401,-0.348,0.96,0.601,1.037,-1.407,0.212,-1.212,0.806,-0.485,0.777,-0.97,-0.155,0.078,-0.908,-1.018,-1.105,-0.602,-0.967,0.849,-1.629
TCGA.C5.A1BQ.01C.11R.A213.07,0.053518763,0.154569408,0.124457893,0,0,0.013861781,0,0.276307473,0,0,0.111853983,0.259406697,0.006024002,0,5.818,-0.494,1.844,1.67,-0.417,1.654,1.869,0.87,0.202,2.511,-0.158,-2.004,3.347,-1.71,-1.376,-1.358,0.638,-2.146,-2.049,-0.951,-0.574,0.385,1.551
TCGA.C5.A1M5.01A.11R.A13Y.07,0.052783848,0.206257331,0.262338478,0,0,0,0,0.17243301,0.01482029,0,0.099972516,0.188899272,0.002079803,0.000415453,4.878,0.377,-0.747,2.864,1.887,2.042,1.053,0.944,0.254,0.973,0.283,-1.378,2.022,0.109,0.062,1.193,0.346,0.155,-1.162,0.345,-0.975,0.078,1.219
TCGA.C5.A1M6.01A.11R.A13Y.07,0.018365802,0.063540983,0.408751436,0,0,0.01063401,0,0.257332364,0.017597197,0.049189954,0.035975875,0.137590484,0.001021896,0,4.794,-0.917,-4.105,-1.06,0.245,-0.99,-1.775,-0.364,0.305,-0.512,0.89,3.832,-0.388,-0.851,-0.376,-0.842,-0.445,-0.949,-1.672,0.294,-2.977,1.614,-2.067
TCGA.C5.A1M7.01A.11R.A13Y.07,0,0,0.453701184,0,0,0,0,0.222708221,0.058751849,0,0.041790477,0.213848099,0.00920017,0,5.252,0.215,0.585,0.528,0.65,1.871,1.564,0.068,0.351,0.585,-0.705,2.721,1.098,-1.43,-0.269,1.298,-0.647,-0.476,-0.397,0.251,-1.267,2.481,-1.689
TCGA.C5.A1M8.01A.21R.A13Y.07,0.021561377,0.035803148,0.389517207,0,0,0.007418125,0,0.26799141,0.194882052,0,0,0.07639322,0.006433461,0,5.222,-0.735,-2.582,0.802,-0.573,0.608,-0.016,0.857,-0.006,-0.121,-0.272,-2.49,-1.038,0.133,0.67,0.367,0.678,0.124,-0.777,-1.592,-0.356,0.676,-1.47
TCGA.C5.A1MH.01A.11R.A14Y.07,0,0.194098379,0.317659818,0,0,0.019728741,0.051722585,0.020114851,0,0,0.191592944,0.199713544,0.001766308,0.00360283,5.47,-0.062,-0.68,3.815,2.583,3.182,3.019,2.278,0.327,3.409,1.318,0.985,4.685,-0.059,-0.575,-0.1,0.12,-0.388,-1.231,1.224,0.678,0.776,-0.613
TCGA.C5.A1MI.01A.11R.A14Y.07,0,0.255325313,0.308832351,0,0,0.009825248,0,0.242597946,0,0,0.070060081,0.111519907,0,0.001839154,5.364,-1.049,-0.876,1.479,1.116,-0.308,0.174,0.327,-0.955,0.563,-1.055,-1.902,0.172,-1.079,-1.308,-0.478,-0.438,-1.303,-1.289,-1.751,0.227,1.114,0.221
TCGA.C5.A1MK.01A.11R.A14Y.07,0.041541811,0.11029349,0.379558132,0,0,0.007605141,0,0.199003472,0.211935224,0,0,0.049350575,0.000712153,0,5.73,0.076,-1.354,1.243,0.38,1.915,1.143,0.257,-0.862,2.014,0.788,2.093,2.661,-0.159,-1.19,0.818,0.233,0.207,-0.517,1.376,-0.048,0.928,-0.254
TCGA.C5.A1ML.01A.11R.A14Y.07,0,0.194832521,0.317051876,0,0,0.017185812,0,0.209912179,0.125057722,0,0,0.132534935,0.003258218,0.000166737,5.524,-0.317,-0.098,-0.602,0.91,0.782,-0.798,-0.664,-0.971,0.397,-0.242,-0.345,0.306,-2.3,-1.366,-0.489,1.1,-0.811,-1.682,-0.566,-0.718,1.575,1.514
TCGA.C5.A1MP.01A.11R.A14Y.07,0.065206444,0.348967195,0.011243814,0,0,0.016529227,0,0.120807988,0.141810295,0,0,0.290570706,0,0.004864332,5.197,-0.077,1.979,2.504,2.593,1.55,1.165,0.795,0.848,1.511,0.849,0.737,1.85,0.971,0.531,0.174,-0.446,-0.616,-0.885,0.073,1.29,0.238,1.379
TCGA.C5.A2LT.01A.11R.A18M.07,0,0,0.314175075,0.115056175,0.064669651,0,0,0.422546713,0.002949123,0.004485851,0.001486506,0.073072435,0.000595135,0.000963337,5.074,-0.704,-0.406,2.445,0.404,1.431,0.54,1.978,-0.547,2.298,0.487,-0.008,1.931,-0.585,-0.514,-0.251,0.762,0.393,-0.368,-0.257,-0.525,0.428,0.39
TCGA.C5.A2LY.01A.31R.A18M.07,0.13968282,0.177463015,0.286737507,0,0,0.019225571,0,0.177533553,0.023318254,0,0.122325402,0.049142948,0.004570931,0,5.062,0.191,0.006,2.838,1.418,2.786,2.697,1.486,0.982,3.418,1.192,0.633,4.214,-0.592,-0.027,-1.106,0.485,0.192,-1.374,0.306,1.588,0.625,1.765
TCGA.C5.A2LZ.01A.11R.A213.07,0.060412552,0.282690506,0.181123142,0,0,0.005492374,0,0.222475655,0.019614178,0,0.056873882,0.16928661,0.001812723,0.000218379,5.822,-0.042,-0.403,1.012,0.681,0.951,0.639,0.525,1.028,1.294,-0.53,1.066,1.715,-1.827,-1.398,1.047,-1.194,-0.405,-0.914,-0.556,-1.203,1.945,0.123
TCGA.C5.A3HE.01A.21R.A22U.07,0.181001469,0,0.172708146,0,0,0.005807566,0,0.240826758,0,0,0.134512103,0.264762899,0.000381059,0,5.04,-0.436,2.25,1.247,-0.509,0.737,1.143,1.406,-0.449,2.564,-0.999,2.911,2.311,-0.488,-0.743,-1.174,-0.139,-1.823,-2.832,0.846,0.305,1.053,1.363
TCGA.C5.A3HL.01A.11R.A213.07,0,0.06433605,0.416362912,0,0,0.011363137,0,0.260570965,0.089962884,0,0,0.150066788,0.004744392,0.002592872,5.081,0.437,-2.521,-1.17,1.049,1.286,-0.089,0.565,-0.752,-0.031,0.638,0.721,0.463,-0.81,0.062,-0.295,0.26,-1.147,-1.838,-0.272,-1.224,0.449,0.996
TCGA.C5.A7CG.01A.11R.A32P.07,0.11874002,0.26734569,0,0,0.115049672,0.021833491,0,0.309887584,0.004888333,0,0.042616656,0.119638554,0,0,5.357,0.261,-0.92,3.847,2.417,3.679,3.322,2.427,-1.32,3.199,0.78,-1.096,4.602,-0.414,-0.035,0.785,0.456,-0.538,-1.667,-0.999,0.462,2.15,0.557
TCGA.C5.A7CH.01A.11R.A33Z.07,0,0.070914307,0.400527415,0,0,0.012719021,0.010015556,0.134810859,0.273746005,0,0,0.09528688,0.001152699,0.000827257,5.566,0.506,1.068,0.894,-0.092,1.389,0.902,1.372,-0.832,1.19,-0.985,1.063,1.993,-0.092,0.854,-1.279,1.327,-0.176,-1.266,0.856,-0.261,3.586,0.799
TCGA.C5.A7CJ.01A.11R.A32P.07,0.067263078,0.159867162,0.296059514,0,0,0,0,0.149724978,0.131930621,0,0,0.191014222,0.000996242,0.003144183,5.542,-0.921,-2.593,1.382,1.523,1.684,0.697,1.009,-0.273,1.702,0.673,2.75,1.481,0.403,-0.92,1.421,0.965,0.418,-0.567,-0.255,0.433,0.747,-0.206
TCGA.C5.A7CK.01A.11R.A32P.07,0,0.099847466,0.488378407,0,0,0.007286282,0,0.321283766,0.004897018,0.028418896,0,0.045364861,0,0.004523303,5.48,-1.324,-0.918,0.069,-0.775,0.483,-0.023,1.08,-0.65,-0.299,-0.276,0.611,1.076,-0.428,-0.584,0.032,-0.273,-1.866,-2.792,-0.614,-1.907,1.997,0.117
