Gene.stable.ID,Gene.stable.ID.version,Gene.name,Gene.type
ENSG00000000003,ENSG00000000003.13,TSPAN6,protein_coding
ENSG00000000419,ENSG00000000419.11,DPM1,protein_coding
ENSG00000000457,ENSG00000000457.12,SCYL3,protein_coding
ENSG00000000460,ENSG00000000460.15,C1orf112,protein_coding
ENSG00000000938,ENSG00000000938.11,FGR,protein_coding
ENSG00000000971,ENSG00000000971.14,CFH,protein_coding
ENSG00000001036,ENSG00000001036.12,FUCA2,protein_coding
ENSG00000001084,ENSG00000001084.9,GCLC,protein_coding
ENSG00000001167,ENSG00000001167.13,NFYA,protein_coding
ENSG00000001460,ENSG00000001460.16,STPG1,protein_coding
ENSG00000001461,ENSG00000001461.15,NIPAL3,protein_coding
ENSG00000001497,ENSG00000001497.15,LAS1L,protein_coding
ENSG00000001617,ENSG00000001617.10,SEMA3F,protein_coding
ENSG00000001629,ENSG00000001629.8,ANKIB1,protein_coding
ENSG00000001630,ENSG00000001630.14,CYP51A1,protein_coding
ENSG00000001631,ENSG00000001631.13,KRIT1,protein_coding
ENSG00000002016,ENSG00000002016.15,RAD52,protein_coding
ENSG00000002330,ENSG00000002330.12,BAD,protein_coding
ENSG00000002549,ENSG00000002549.11,LAP3,protein_coding
ENSG00000002586,ENSG00000002586.16,CD99,protein_coding
ENSG00000002587,ENSG00000002587.8,HS3ST1,protein_coding
ENSG00000002822,ENSG00000002822.14,MAD1L1,protein_coding
ENSG00000002834,ENSG00000002834.16,LASP1,protein_coding
ENSG00000002919,ENSG00000002919.13,SNX11,protein_coding
ENSG00000002933,ENSG00000002933.6,TMEM176A,protein_coding
ENSG00000003056,ENSG00000003056.6,M6PR,protein_coding
ENSG00000003137,ENSG00000003137.7,CYP26B1,protein_coding
ENSG00000003147,ENSG00000003147.16,ICA1,protein_coding
ENSG00000003249,ENSG00000003249.12,DBNDD1,protein_coding
ENSG00000003393,ENSG00000003393.13,ALS2,protein_coding
ENSG00000003400,ENSG00000003400.13,CASP10,protein_coding
ENSG00000003402,ENSG00000003402.18,CFLAR,protein_coding
ENSG00000003436,ENSG00000003436.13,TFPI,protein_coding
ENSG00000003509,ENSG00000003509.14,NDUFAF7,protein_coding
ENSG00000003756,ENSG00000003756.15,RBM5,protein_coding
ENSG00000004059,ENSG00000004059.9,ARF5,protein_coding
